full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Lee Peltier,35,1986/12/11,Premier League,Defender,Cardiff City,England,0,0,0,4,0
Leighton Baines,37,1984/12/11,Premier League,Defender,Everton,England,0,0,0,0,0
Leon Balogun,34,1988/06/28,Premier League,Defender,Brighton & Hove Albion,Nigeria,1,0,0,2,0
Leonardo Bonatini Lohner Maia,28,1994/03/28,Premier League,Forward,Wolverhampton Wanderers,Brazil,0,1,0,0,0
Leroy SanÃ©,26,1996/01/11,Premier League,Midfielder,Manchester City,Germany,10,10,0,1,0
Lewis Cass,22,2000/02/27,Premier League,Defender,Newcastle United,England,0,0,0,0,0
Lewis Cook,25,1997/02/03,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,2,0
Lewis Dunk,30,1991/11/21,Premier League,Defender,Brighton & Hove Albion,England,2,1,0,7,1
LoÃ¯c Damour,31,1991/01/08,Premier League,Midfielder,Cardiff City,France,0,0,0,0,0
Loris Karius,29,1993/06/22,Premier League,Goalkeeper,Liverpool,Germany,0,0,0,0,0
Luca de la Torre,24,1998/05/23,Premier League,Midfielder,Fulham,USA,0,0,0,0,0
Lucas Digne,29,1993/07/20,Premier League,Defender,Everton,France,4,4,0,6,1
Lucas Perez,34,1988/09/10,Premier League,Forward,West Ham United,Spain,3,0,0,0,0
Lucas Rodrigues Moura da Silva,30,1992/08/13,Premier League,Midfielder,Tottenham Hotspur,Brazil,10,0,0,3,0
Lucas Torreira,26,1996/02/11,Premier League,Midfielder,Arsenal,Uruguay,2,2,0,8,1
Luciano Vietto,28,1993/12/05,Premier League,Forward,Fulham,Argentina,1,4,0,1,0
Luka MilivojeviÄ‡,31,1991/04/07,Premier League,Midfielder,Crystal Palace,Serbia,12,2,10,10,0
Luke Amos,25,1997/02/23,Premier League,Midfielder,Tottenham Hotspur,England,0,0,0,0,0
Luke Dreher,23,1998/11/27,Premier League,Midfielder,Crystal Palace,England,0,0,0,0,0
Luke Shaw,27,1995/07/12,Premier League,Defender,Manchester United,England,1,4,0,11,0
Lys Mousset,26,1996/02/08,Premier League,Forward,AFC Bournemouth,France,1,0,0,1,0
Maarten Stekelenburg,40,1982/09/22,Premier League,Goalkeeper,Everton,Netherlands,0,0,0,0,0
Mamadou Sakho,32,1990/02/13,Premier League,Defender,Crystal Palace,France,0,0,0,2,0
Manolo Gabbiadini,30,1991/11/26,Premier League,Forward,Southampton,Italy,1,0,0,0,0
Manuel Lanzini,29,1993/02/15,Premier League,Midfielder,West Ham United,Argentina,1,1,0,2,0
Marc Albrighton,32,1989/11/18,Premier League,Midfielder,Leicester City,England,2,2,0,3,0
Marc Guehi,22,2000/07/13,Premier League,Defender,Chelsea,England,0,0,0,0,0
Marc Navarro Ceciliano,27,1995/07/02,Premier League,Defender,Watford,Spain,0,0,0,0,0
Marc Pugh,35,1987/04/02,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,0,0
Marcos Alonso,31,1990/12/28,Premier League,Defender,Chelsea,Spain,2,4,0,6,0
Marcus Bettinelli,30,1992/05/24,Premier League,Goalkeeper,Fulham,England,0,0,0,1,0
Marcus Rashford,25,1997/10/31,Premier League,Forward,Manchester United,England,10,6,0,4,1
